measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Saudi Arabia,Male,80-84,Breast cancer,Number,2019,1.0812106605112053,2.64095015859649,0.36454410866138726
YLDs (Years Lived with Disability),Saudi Arabia,Female,80-84,Breast cancer,Number,2019,27.078234760979356,40.55473366424874,17.35832627198682
YLDs (Years Lived with Disability),Saudi Arabia,Male,85-89,Breast cancer,Number,2019,0.5414191881649324,1.3637685602483383,0.1857254117062366
YLDs (Years Lived with Disability),Saudi Arabia,Female,85-89,Breast cancer,Number,2019,12.514328511614087,18.789748797490933,7.91376314139134
YLDs (Years Lived with Disability),Saudi Arabia,Male,90-94,Breast cancer,Number,2019,0.15858596108410303,0.33593582886162554,0.06873264217151846
YLDs (Years Lived with Disability),Saudi Arabia,Female,90-94,Breast cancer,Number,2019,4.282055393903406,6.136161564421511,2.7108463356371737
YLDs (Years Lived with Disability),Saudi Arabia,Male,95+ years,Breast cancer,Number,2019,0.02539742109747699,0.04764098861483772,0.01054716661196822
YLDs (Years Lived with Disability),Saudi Arabia,Female,95+ years,Breast cancer,Number,2019,0.7550988513149453,1.1162500978010996,0.46582410597153523
YLDs (Years Lived with Disability),Saudi Arabia,Male,95+ years,Colon and rectum cancer,Number,2019,0.4443688170307157,0.7625211416491191,0.20234127803944513
YLDs (Years Lived with Disability),Saudi Arabia,Female,95+ years,Colon and rectum cancer,Number,2019,0.42042983425422836,0.7170041535405473,0.1984745862915955
YLDs (Years Lived with Disability),Saudi Arabia,Male,<5 years,Colon and rectum cancer,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,<5 years,Colon and rectum cancer,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,5-9 years,Colon and rectum cancer,Number,2019,0.6076656669165417,1.2956311657927795,0.26529010744925346
YLDs (Years Lived with Disability),Saudi Arabia,Female,5-9 years,Colon and rectum cancer,Number,2019,0.23268952455696942,0.46927241783842416,0.10325770595977003
YLDs (Years Lived with Disability),Saudi Arabia,Male,10-14 years,Colon and rectum cancer,Number,2019,0.6355033634792631,1.237406620286985,0.28843781187933865
YLDs (Years Lived with Disability),Saudi Arabia,Female,10-14 years,Colon and rectum cancer,Number,2019,0.26864078543053727,0.4810643542586203,0.12331361742785339
YLDs (Years Lived with Disability),Saudi Arabia,Male,15-19 years,Colon and rectum cancer,Number,2019,2.453495462717121,4.786691929156571,1.115714873172536
YLDs (Years Lived with Disability),Saudi Arabia,Female,15-19 years,Colon and rectum cancer,Number,2019,1.2880045993581606,2.320454145219251,0.6555123768975343
YLDs (Years Lived with Disability),Saudi Arabia,Male,20-24 years,Colon and rectum cancer,Number,2019,7.795201089060474,12.993638409183642,4.1428711345653015
YLDs (Years Lived with Disability),Saudi Arabia,Female,20-24 years,Colon and rectum cancer,Number,2019,3.810435775222345,6.575387994647662,1.972035359131693
YLDs (Years Lived with Disability),Saudi Arabia,Male,25-29 years,Colon and rectum cancer,Number,2019,19.407381826534927,34.31864329572071,9.785177795416534
YLDs (Years Lived with Disability),Saudi Arabia,Female,25-29 years,Colon and rectum cancer,Number,2019,9.096863861797248,15.56622066297788,4.986708997737734
YLDs (Years Lived with Disability),Saudi Arabia,Male,30-34 years,Colon and rectum cancer,Number,2019,48.23750451664709,89.64690884373891,19.761587395308602
YLDs (Years Lived with Disability),Saudi Arabia,Female,30-34 years,Colon and rectum cancer,Number,2019,19.29758840760273,33.601695972366365,10.230411939592047
YLDs (Years Lived with Disability),Saudi Arabia,Male,35-39 years,Colon and rectum cancer,Number,2019,92.83307241613856,179.31463434493435,38.43893785876825
YLDs (Years Lived with Disability),Saudi Arabia,Female,35-39 years,Colon and rectum cancer,Number,2019,33.728870581008714,62.83904837113814,15.851189521800974
YLDs (Years Lived with Disability),Saudi Arabia,Male,40-44 years,Colon and rectum cancer,Number,2019,132.18455362006748,240.56983147328236,61.53339894416532
YLDs (Years Lived with Disability),Saudi Arabia,Female,40-44 years,Colon and rectum cancer,Number,2019,53.89512225796066,96.09828818890328,26.31656131339079
YLDs (Years Lived with Disability),Saudi Arabia,Male,45-49 years,Colon and rectum cancer,Number,2019,143.71635413739162,255.3873854941269,70.72372081559435
YLDs (Years Lived with Disability),Saudi Arabia,Female,45-49 years,Colon and rectum cancer,Number,2019,71.22058739523187,120.29536147458501,36.6655877404456
YLDs (Years Lived with Disability),Saudi Arabia,Male,50-54 years,Colon and rectum cancer,Number,2019,144.55385800286697,252.6253741732419,76.73836031616293
YLDs (Years Lived with Disability),Saudi Arabia,Female,50-54 years,Colon and rectum cancer,Number,2019,77.070402639795,127.63005238224596,41.89194814458708
YLDs (Years Lived with Disability),Saudi Arabia,Male,55-59 years,Colon and rectum cancer,Number,2019,147.91860926276345,263.0928695808633,70.44450825889734
YLDs (Years Lived with Disability),Saudi Arabia,Female,55-59 years,Colon and rectum cancer,Number,2019,61.63802928346084,105.35302633363828,27.451226090726013
YLDs (Years Lived with Disability),Saudi Arabia,Male,60-64 years,Colon and rectum cancer,Number,2019,134.40928512499545,228.4917584707122,68.84174168245595
